"Post-
code",Gemeente,Deelgemeente,Provincie,Inwoners,"Facili-
teiten","Vertaling naam
(deel)gemeente"
7830,Opzullik,,Hainaut,,,Silly
7850,Enghien,,Hainaut,13489,n,Edingen
7850,Edingen,,Hainaut,,n,Enghien
7860,Lessines,,Hainaut,18610,,Lessen
7860,Lessen,,Hainaut,,,Lessines
7870,Lens,,Hainaut,4384,,
7880,Flobecq,,Hainaut,3443,n,Vloesberg
7880,Vloesberg,,Hainaut,,n,Flobecq
7890,Ellezelles,,Hainaut,5922,,Elzele
7890,Elzele,,Hainaut,,,Ellezelles
7900,Leuze-en-Hainaut,,Hainaut,13699,,
7910,Frasnes-lez-Anvaing,,Hainaut,11709,,
7940,Brugelette,,Hainaut,3619,,
7950,Chièvres,,Hainaut,6946,,
7970,Beloeil,,Hainaut,13982,,
8000,Brugge,,West-Vlaanderen,118053,,Bruges
8000,Bruges,,West-Vlaanderen,,,Brugge
8020,Oostkamp,,West-Vlaanderen,23132,,
8210,Zedelgem,,West-Vlaanderen,22479,,
8300,Knokke-Heist,,West-Vlaanderen,33311,,
8340,Damme,,West-Vlaanderen,10907,,
8370,Blankenberge,,West-Vlaanderen,20013,,
8377,Zuienkerke,,West-Vlaanderen,2711,,
8400,Oostende,,West-Vlaanderen,70600,,Ostende
8400,Ostende,,West-Vlaanderen,,,Oostende
8420,De Haan,,West-Vlaanderen,12622,,
8430,Middelkerke,,West-Vlaanderen,19262,,
8450,Bredene,,West-Vlaanderen,17360,,
8460,Oudenburg,,West-Vlaanderen,9279,,
8470,Gistel,,West-Vlaanderen,11851,,
8480,Ichtegem,,West-Vlaanderen,13945,,
8490,Jabbeke,,West-Vlaanderen,13862,,
8500,Kortrijk,,West-Vlaanderen,75506,,Courtrai
8500,Courtrai,,West-Vlaanderen,,,Kortrijk
8520,Kuurne,,West-Vlaanderen,13140,,
8530,Harelbeke,,West-Vlaanderen,27536,,
8540,Deerlijk,,West-Vlaanderen,11738,,
8550,Zwevegem,,West-Vlaanderen,24353,,
8560,Wevelgem,,West-Vlaanderen,31291,,
8570,Anzegem,,West-Vlaanderen,14589,,
8580,Avelgem,,West-Vlaanderen,9956,,
8587,Spiere-Helkijn,,West-Vlaanderen,2133,f,Espierres-Helchin
8587,Espierres-Helchin,,West-Vlaanderen,,f,Spiere-Helkijn
8600,Diksmuide,,West-Vlaanderen,16551,,Dixmude
8600,Dixmude,,West-Vlaanderen,,,Diksmuide
8610,Kortemark,,West-Vlaanderen,12415,,
8620,Nieuwpoort,,West-Vlaanderen,11379,,Nieuport
8620,Nieuport,,West-Vlaanderen,,,Nieuwpoort
8630,Veurne,,West-Vlaanderen,11674,,Furnes
8630,Furnes,,West-Vlaanderen,,,Veurne
8640,Vleteren,,West-Vlaanderen,3673,,
8647,Lo-Reninge,,West-Vlaanderen,3277,,
8650,Houthulst,,West-Vlaanderen,10037,,
8660,De Panne,,West-Vlaanderen,10811,,La Panne
8660,La Panne,,West-Vlaanderen,,,De Panne
8670,Koksijde,,West-Vlaanderen,22074,,
8680,Koekelare,,West-Vlaanderen,8750,,
8690,Alveringem,,West-Vlaanderen,5039,,
8700,Tielt,,West-Vlaanderen,20159,,
8710,Wielsbeke,,West-Vlaanderen,9525,,
8720,Dentergem,,West-Vlaanderen,8374,,
8730,Beernem,,West-Vlaanderen,15502,,
8740,Pittem,,West-Vlaanderen,6723,,
8750,Wingene,,West-Vlaanderen,14209,,
8755,Ruiselede,,West-Vlaanderen,5363,,
8760,Meulebeke,,West-Vlaanderen,11018,,
8770,Ingelmunster,,West-Vlaanderen,10792,,
8780,Oostrozebeke,,West-Vlaanderen,7700,,
8790,Waregem,,West-Vlaanderen,37606,,
8800,Roeselare,,West-Vlaanderen,60999,,Roulers
8800,Roulers,,West-Vlaanderen,,,Roeselare
8810,Lichtervelde,,West-Vlaanderen,8688,,
8820,Torhout,,West-Vlaanderen,20486,,
8830,Hooglede,,West-Vlaanderen,10016,,
8840,Staden,,West-Vlaanderen,11173,,
8850,Ardooie,,West-Vlaanderen,9053,,
8860,Lendelede,,West-Vlaanderen,5746,,
8870,Izegem,,West-Vlaanderen,27550,,
8880,Ledegem,,West-Vlaanderen,9530,,
8890,Moorslede,,West-Vlaanderen,10949,,
8900,Ieper,,West-Vlaanderen,34959,,Ypres
8900,Ypres,,West-Vlaanderen,,,Ieper
8920,Langemark-Poelkapelle,,West-Vlaanderen,7940,,
8930,Menen,,West-Vlaanderen,32877,,Menin
8930,Menin,,West-Vlaanderen,,,Menen
8940,Wervik,,West-Vlaanderen,18529,,
8950,Heuvelland,,West-Vlaanderen,7827,,
8957,Mesen,,West-Vlaanderen,1054,f,Messines
8957,Messines,,West-Vlaanderen,,f,Mesen
8970,Poperinge,,West-Vlaanderen,19755,,
8980,Zonnebeke,,West-Vlaanderen,12417,,
9000,Gent,,Oost-Vlaanderen,257029,,Gand
9000,Gand,,Oost-Vlaanderen,,,Gent
9060,Zelzate,,Oost-Vlaanderen,12490,,
9070,Destelbergen,,Oost-Vlaanderen,17867,,
9080,Lochristi,,Oost-Vlaanderen,22117,,
9090,Melle,,Oost-Vlaanderen,11189,,
9100,Sint-Niklaas,,Oost-Vlaanderen,75208,,Saint-Nicolas
9100,Saint-Nicolas,,Oost-Vlaanderen,,,Sint-Niklaas
9120,Beveren,,Oost-Vlaanderen,47573,,
9140,Temse,,Oost-Vlaanderen,29194,,Tamise
9140,Tamise,,Oost-Vlaanderen,,,Temse
9150,Kruibeke,,Oost-Vlaanderen,16541,,
9160,Lokeren,,Oost-Vlaanderen,40626,,
9170,Sint-Gillis-Waas,,Oost-Vlaanderen,19204,,
9180,Moerbeke,,Oost-Vlaanderen,6328,,
9185,Wachtebeke,,Oost-Vlaanderen,7588,,
9190,Stekene,,Oost-Vlaanderen,17888,,
9200,Dendermonde,,Oost-Vlaanderen,45367,,Termonde
9200,Termonde,,Oost-Vlaanderen,,,Dendermonde
9220,Hamme,,Oost-Vlaanderen,24702,,
9230,Wetteren,,Oost-Vlaanderen,24818,,
9240,Zele,,Oost-Vlaanderen,20785,,
9250,Waasmunster,,Oost-Vlaanderen,10736,,
9255,Buggenhout,,Oost-Vlaanderen,14469,,
9260,Wichelen,,Oost-Vlaanderen,11501,,
9270,Laarne,,Oost-Vlaanderen,12515,,
9280,Lebbeke,,Oost-Vlaanderen,18843,,
9290,Berlare,,Oost-Vlaanderen,14758,,
9300,Aalst,,Oost-Vlaanderen,84329,,Alost
9300,Alost,,Oost-Vlaanderen,,,Aalst
9340,Lede,,Oost-Vlaanderen,18399,,
9400,Ninove,,Oost-Vlaanderen,38051,,
9420,Erpe-Mere,,Oost-Vlaanderen,19720,,
9450,Haaltert,,Oost-Vlaanderen,18117,,
9470,Denderleeuw,,Oost-Vlaanderen,19688,,
9500,Geraardsbergen,,Oost-Vlaanderen,33136,,Grammont
9500,Grammont,,Oost-Vlaanderen,,,Geraardsbergen
9520,Sint-Lievens-Houtem,,Oost-Vlaanderen,10152,,
9550,Herzele,,Oost-Vlaanderen,17550,,
9570,Lierde,,Oost-Vlaanderen,6550,,
9600,Ronse,,Oost-Vlaanderen,25925,f,Renaix
9600,Renaix,,Oost-Vlaanderen,,f,Ronse
9620,Zottegem,,Oost-Vlaanderen,25899,,
9630,Zwalm,,Oost-Vlaanderen,8040,,
9660,Brakel,,Oost-Vlaanderen,14787,,
9667,Horebeke,,Oost-Vlaanderen,2000,,
9680,Maarkedal,,Oost-Vlaanderen,6281,,
9690,Kluisbergen,,Oost-Vlaanderen,6445,,
9700,Oudenaarde,,Oost-Vlaanderen,30990,,Audenarde
9700,Audenarde,,Oost-Vlaanderen,,,Oudenaarde
9750,Zingem,,Oost-Vlaanderen,7527,,
9770,Kruishoutem,,Oost-Vlaanderen,8137,,
9790,Wortegem-Petegem,,Oost-Vlaanderen,6326,,
9800,Deinze,,Oost-Vlaanderen,30667,,
9810,Nazareth,,Oost-Vlaanderen,11570,,
9820,Merelbeke,,Oost-Vlaanderen,24279,,
9830,Sint-Martens-Latem,,Oost-Vlaanderen,8517,,
9840,De Pinte,,Oost-Vlaanderen,10367,,
9850,Nevele,,Oost-Vlaanderen,12071,,
9860,Oosterzele,,Oost-Vlaanderen,13545,,
9870,Zulte,,Oost-Vlaanderen,15589,,
9880,Aalter,,Oost-Vlaanderen,20218,,
9890,Gavere,,Oost-Vlaanderen,12680,,
9900,Eeklo,,Oost-Vlaanderen,20561,,
9910,Knesselare,,Oost-Vlaanderen,8217,,
9920,Lovendegem,,Oost-Vlaanderen,9488,,
9930,Zomergem,,Oost-Vlaanderen,8468,,
9940,Evergem,,Oost-Vlaanderen,34692,,
9950,Waarschoot,,Oost-Vlaanderen,7886,,
9960,Assenede,,Oost-Vlaanderen,14083,,
9970,Kaprijke,,Oost-Vlaanderen,6321,,
9980,Sint-Laureins,,Oost-Vlaanderen,6666,,
9990,Maldegem,,Oost-Vlaanderen,23452,,
1020,Brussel,Laken,Brussels Hoofdstedelijk Gewest,,N+F,Laeken
1020,Bruxelles,Laeken,Brussels Hoofdstedelijk Gewest,,N+F,Laken
1120,Brussel,Neder-Over-Heembeek,Brussels Hoofdstedelijk Gewest,,N+F,
1130,Brussel,Haren,Brussels Hoofdstedelijk Gewest,,N+F,
1300,Wavre,Limal,Brabant wallon,,,
1301,Wavre,Bierges,Brabant wallon,,,
1315,Incourt,Glimes,Brabant wallon,,,
1315,Incourt,Opprebais,Brabant wallon,,,
1315,Incourt,Piétrebais,Brabant wallon,,,
1315,Incourt,Roux-Miroir,Brabant wallon,,,
1320,Beauvechain,Hamme-Mille,Brabant wallon,,,
1320,Beauvechain,L'Écluse,Brabant wallon,,,
1320,Beauvechain,Nodebais,Brabant wallon,,,
1320,Beauvechain,Tourinnes-la-Grosse,Brabant wallon,,,
1325,Chaumont-Gistoux,Bonlez,Brabant wallon,,,
1325,Chaumont-Gistoux,Corroy-le-Grand,Brabant wallon,,,
1325,Chaumont-Gistoux,Dion-le-Mont,Brabant wallon,,,
1325,Chaumont-Gistoux,Dion-le-Val,Brabant wallon,,,
1325,Chaumont-Gistoux,Longueville,Brabant wallon,,,
1331,Rixensart,Rosières,Brabant wallon,,,
1332,Rixensart,Genval,Brabant wallon,,,
1340,Ottignies-Louvain-la-Neuve,Ottignies,Brabant wallon,,,
1341,Ottignies-Louvain-la-Neuve,Céroux-Mousty,Brabant wallon,,,
1342,Ottignies-Louvain-la-Neuve,Limelette,Brabant wallon,,,
1348,Ottignies-Louvain-la-Neuve,Louvain-la-Neuve,Brabant wallon,,,
1350,Orp-Jauche,Enines,Brabant wallon,,,
1350,Orp-Jauche,Folx-les-Caves,Brabant wallon,,,
1350,Orp-Jauche,Jandrain-Jandrenouille,Brabant wallon,,,
1350,Orp-Jauche,Jauche,Brabant wallon,,,
1350,Orp-Jauche,Marilles,Brabant wallon,,,
1350,Orp-Jauche,Noduwez,Brabant wallon,,,
1350,Orp-Jauche,Orp-le-Grand,Brabant wallon,,,
1357,Hélécine,Linsmeau,Brabant wallon,,,
1357,Hélécine,Neerheylissem,Brabant wallon,,,
1357,Hélécine,Opheylissem,Brabant wallon,,,
1360,Perwez,Malèves-Sainte-Marie-Wastines,Brabant wallon,,,
1360,Perwez,Orbais,Brabant wallon,,,
1360,Perwez,Thorembais-les-Béguines,Brabant wallon,,,
1360,Perwez,Thorembais-Saint-Trond,Brabant wallon,,,
1367,Ramillies,Autre-Église,Brabant wallon,,,
1367,Ramillies,Bomal,Brabant wallon,,,
1367,Ramillies,Geest-Gérompont-Petit-Rosière,Brabant wallon,,,
1367,Ramillies,Grand-Rosière-Hottomont,Brabant wallon,,,
1367,Ramillies,Huppaye,Brabant wallon,,,
1367,Ramillies,Mont-Saint-André,Brabant wallon,,,
1367,Ramillies,Ramillies-Offus,Brabant wallon,,,
1370,Jodoigne,Dongelberg,Brabant wallon,,,
1370,Jodoigne,Jauchelette,Brabant wallon,,,
1370,Jodoigne,Jodoigne-Souveraine,Brabant wallon,,,
1370,Jodoigne,Lathuy,Brabant wallon,,,
1370,Jodoigne,Mélin,Brabant wallon,,,
1370,Jodoigne,Piétrain,Brabant wallon,,,
1370,Jodoigne,Saint-Jean-Geest,Brabant wallon,,,
1370,Jodoigne,Saint-Remy-Geest,Brabant wallon,,,
1370,Jodoigne,Zétrud-Lumay,Brabant wallon,,,
1380,Lasne,Couture-Saint-Germain,Brabant wallon,,,
1380,Lasne,Lasne-Chapelle-Saint-Lambert,Brabant wallon,,,
1380,Lasne,Maransart,Brabant wallon,,,
1380,Lasne,Ohain,Brabant wallon,,,
1380,Lasne,Plancenoit,Brabant wallon,,,
1390,Grez-Doiceau,Archennes,Brabant wallon,,,
1390,Grez-Doiceau,Biez,Brabant wallon,,,
1390,Grez-Doiceau,Bossut-Gottechain,Brabant wallon,,,
1390,Grez-Doiceau,Nethen,Brabant wallon,,,
1400,Nivelles,Monstreux,Brabant wallon,,,
1401,Nivelles,Baulers,Brabant wallon,,,
1402,Nivelles,Thines,Brabant wallon,,,
1404,Nivelles,Bornival,Brabant wallon,,,
1421,Braine-l'Alleud,Ophain-Bois-Seigneur Isaac,Brabant wallon,,,
1428,Braine-l'Alleud,Lillois-Witterzée,Brabant wallon,,,
1430,Rebecq,Bierghes,Brabant wallon,,,
1430,Rebecq,Quenast,Brabant wallon,,,
1430,Rebecq,Rebecq-Rognon,Brabant wallon,,,
1435,Mont-Saint-Guibert,Corbais,Brabant wallon,,,
1435,Mont-Saint-Guibert,Hévillers,Brabant wallon,,,
1440,Braine-le-Château,Wauthier-Braine,Brabant wallon,,,
1450,Chastre,Chastre-Villeroux-Blanmont,Brabant wallon,,,
1450,Chastre,Cortil-Noirmont,Brabant wallon,,,
1450,Chastre,Gentinnes,Brabant wallon,,,
1450,Chastre,Saint-Géry,Brabant wallon,,,
1457,Walhain,Nil-Saint-Vincent-Saint-Martin,Brabant wallon,,,
1457,Walhain,Tourinnes-Saint-Lambert,Brabant wallon,,,
1457,Walhain,Walhain-Saint-Paul,Brabant wallon,,,
1460,Ittre,Virginal-Samme,Brabant wallon,,,
1461,Ittre,Haut-Ittre,Brabant wallon,,,
1470,Genappe,Baisy-Thy,Brabant wallon,,,
1470,Genappe,Bousval,Brabant wallon,,,
1471,Genappe,Loupoigne,Brabant wallon,,,
1472,Genappe,Vieux-Genappe,Brabant wallon,,,
1473,Genappe,Glabais,Brabant wallon,,,
1474,Genappe,Ways,Brabant wallon,,,
1476,Genappe,Houtain-le-Val,Brabant wallon,,,
1480,Tubize,Clabecq,Brabant wallon,,,
1480,Tubize,Oisquercq,Brabant wallon,,,
1480,Tubize,Saintes,Brabant wallon,,,
1495,Villers-la-Ville,Marbais,Brabant wallon,,,
1495,Villers-la-Ville,Mellery,Brabant wallon,,,
1495,Villers-la-Ville,Sart-Dames-Avelines,Brabant wallon,,,
1495,Villers-la-Ville,Tilly,Brabant wallon,,,
1501,Halle,Buizingen,Vlaams-Brabant,,,
1502,Halle,Lembeek,Vlaams-Brabant,,,
1540,Herne,Herfelingen,Vlaams-Brabant,,,
1541,Herne,Sint-Pieters-Kapelle,Vlaams-Brabant,,,
1570,Galmaarden,Tollembeek,Vlaams-Brabant,,,
1570,Galmaarden,Vollezele,Vlaams-Brabant,,,
1600,Sint-Pieters-Leeuw,Oudenaken,Vlaams-Brabant,,,
1600,Sint-Pieters-Leeuw,Sint-Laureins-Berchem,Vlaams-Brabant,,,
1601,Sint-Pieters-Leeuw,Ruisbroek,Vlaams-Brabant,,,
1602,Sint-Pieters-Leeuw,Vlezenbeek,Vlaams-Brabant,,,
1651,Beersel,Lot,Vlaams-Brabant,,,
1652,Beersel,Alsemberg,Vlaams-Brabant,,,
1653,Beersel,Dworp,Vlaams-Brabant,,,
1654,Beersel,Huizingen,Vlaams-Brabant,,,
1670,Pepingen,Bogaarden,Vlaams-Brabant,,,
1670,Pepingen,Heikruis,Vlaams-Brabant,,,
1671,Pepingen,Elingen,Vlaams-Brabant,,,
1673,Pepingen,Beert,Vlaams-Brabant,,,
1674,Pepingen,Bellingen,Vlaams-Brabant,,,
1700,Dilbeek,Sint-Martens-Bodegem,Vlaams-Brabant,,,
1700,Dilbeek,Sint-Ulriks-Kapelle,Vlaams-Brabant,,,
1701,Dilbeek,Itterbeek,Vlaams-Brabant,,,
1702,Dilbeek,Groot-Bijgaarden,Vlaams-Brabant,,,
1703,Dilbeek,Schepdaal,Vlaams-Brabant,,,
1730,Asse,Bekkerzeel,Vlaams-Brabant,,,
1730,Asse,Kobbegem,Vlaams-Brabant,,,
1730,Asse,Mollem,Vlaams-Brabant,,,
1731,Asse,Relegem,Vlaams-Brabant,,,
1731,Asse,Zellik,Vlaams-Brabant,,,
1741,Ternat,Wambeek,Vlaams-Brabant,,,
1742,Ternat,Sint-Katherina-Lombeek,Vlaams-Brabant,,,
1745,Opwijk,Mazenzele,Vlaams-Brabant,,,
1750,Lennik,Gaasbeek,Vlaams-Brabant,,,
1750,Lennik,Sint-Kwintens-Lennik,Vlaams-Brabant,,,
1750,Lennik,Sint-Martens-Lennik,Vlaams-Brabant,,,
1755,Gooik,Kester,Vlaams-Brabant,,,
1755,Gooik,Leerbeek,Vlaams-Brabant,,,
1755,Gooik,Oetingen,Vlaams-Brabant,,,
1760,Roosdaal,Onze-Lieve-Vrouw-Lombeek,Vlaams-Brabant,,,
1760,Roosdaal,Pamel,Vlaams-Brabant,,,
1760,Roosdaal,Strijtem,Vlaams-Brabant,,,
1761,Roosdaal,Borchtlombeek,Vlaams-Brabant,,,
1785,Merchtem,Brussegem,Vlaams-Brabant,,,
1785,Merchtem,Hamme,Vlaams-Brabant,,,
1790,Affligem,Essene,Vlaams-Brabant,,,
1790,Affligem,Hekelgem,Vlaams-Brabant,,,
1790,Affligem,Teralfene,Vlaams-Brabant,,,
1800,Vilvoorde,Peutie,Vlaams-Brabant,,,
1820,Steenokkerzeel,Melsbroek,Vlaams-Brabant,,,
1820,Steenokkerzeel,Perk,Vlaams-Brabant,,,
1831,Machelen,Diegem,Vlaams-Brabant,,,
1840,Londerzeel,Malderen,Vlaams-Brabant,,,
1840,Londerzeel,Steenhuffel,Vlaams-Brabant,,,
1851,Grimbergen,Humbeek,Vlaams-Brabant,,,
1852,Grimbergen,Beigem,Vlaams-Brabant,,,
1853,Grimbergen,Strombeek-Bever,Vlaams-Brabant,,,
1861,Meise,Wolvertem,Vlaams-Brabant,,,
1880,Kapelle-op-den-Bos,Nieuwenrode,Vlaams-Brabant,,,
1880,Kapelle-op-den-Bos,Ramsdonk,Vlaams-Brabant,,,
1910,Kampenhout,Berg,Vlaams-Brabant,,,
1910,Kampenhout,Buken,Vlaams-Brabant,,,
1910,Kampenhout,Nederokkerzeel,Vlaams-Brabant,,,
1930,Zaventem,Nossegem,Vlaams-Brabant,,,
1932,Zaventem,Sint-Stevens-Woluwe,Vlaams-Brabant,,,
1933,Zaventem,Sterrebeek,Vlaams-Brabant,,,
1980,Zemst,Eppegem,Vlaams-Brabant,,,
1981,Zemst,Hofstade,Vlaams-Brabant,,,
1982,Zemst,Elewijt,Vlaams-Brabant,,,
1982,Zemst,Weerde,Vlaams-Brabant,,,
2040,Antwerpen,Berendrecht,Antwerpen,,,
2040,Antwerpen,Lillo,Antwerpen,,,
2040,Antwerpen,Zandvliet,Antwerpen,,,
2070,Zwijndrecht,Burcht,Antwerpen,,,
2100,Antwerpen,Deurne,Antwerpen,,,
2140,Antwerpen,Borgerhout,Antwerpen,,,
2170,Antwerpen,Merksem,Antwerpen,,,
2180,Antwerpen,Ekeren,Antwerpen,,,
2200,Herentals,Morkhoven,Antwerpen,,,
2200,Herentals,Noorderwijk,Antwerpen,,,
2220,Heist-op-den-Berg,Hallaar,Antwerpen,,,
2221,Heist-op-den-Berg,Booischot,Antwerpen,,,
2222,Heist-op-den-Berg,Itegem,Antwerpen,,,
2222,Heist-op-den-Berg,Wiekevorst,Antwerpen,,,
2223,Heist-op-den-Berg,Schriek,Antwerpen,,,
2230,Herselt,Ramsel,Antwerpen,,,
2235,Hulshout,Houtvenne,Antwerpen,,,
2235,Hulshout,Westmeerbeek,Antwerpen,,,
2240,Zandhoven,Massenhoven,Antwerpen,,,
2240,Zandhoven,Viersel,Antwerpen,,,
2242,Zandhoven,Pulderbos,Antwerpen,,,
2243,Zandhoven,Pulle,Antwerpen,,,
2260,Westerlo,Oevel,Antwerpen,,,
2260,Westerlo,Tongerlo,Antwerpen,,,
2260,Westerlo,Zoerle-Parwijs,Antwerpen,,,
2275,Lille,Gierle,Antwerpen,,,
2275,Lille,Poederlee,Antwerpen,,,
2275,Lille,Wechelderzande,Antwerpen,,,
2288,Grobbendonk,Bouwel,Antwerpen,,,
2321,Hoogstraten,Meer,Antwerpen,,,
2322,Hoogstraten,Minderhout,Antwerpen,,,
2323,Hoogstraten,Wortel,Antwerpen,,,
2328,Hoogstraten,Meerle,Antwerpen,,,
2340,Beerse,Vlimmeren,Antwerpen,,,
2381,Ravels,Weelde,Antwerpen,,,
2382,Ravels,Poppel,Antwerpen,,,
2390,Malle,Oostmalle,Antwerpen,,,
2390,Malle,Westmalle,Antwerpen,,,
2430,Laakdal,Eindhout,Antwerpen,,,
2430,Laakdal,Vorst,Antwerpen,,,
2431,Laakdal,Varendonk,Antwerpen,,,
2431,Laakdal,Veerle,Antwerpen,,,
2460,Kasterlee,Lichtaart,Antwerpen,,,
2460,Kasterlee,Tielen,Antwerpen,,,
2491,Balen,Olmen,Antwerpen,,,
2500,Lier,Koningshooikt,Antwerpen,,,
2520,Ranst,Broechem,Antwerpen,,,
2520,Ranst,Emblem,Antwerpen,,,
2520,Ranst,Oelegem,Antwerpen,,,
2531,Boechout,Vremde,Antwerpen,,,
2550,Kontich,Waarloos,Antwerpen,,,
2560,Nijlen,Bevel,Antwerpen,,,
2560,Nijlen,Kessel,Antwerpen,,,
2580,Putte,Beerzel,Antwerpen,,,
2590,Berlaar,Gestel,Antwerpen,,,
2600,Antwerpen,Berchem,Antwerpen,,,
2610,Antwerpen,Wilrijk,Antwerpen,,,
2660,Antwerpen,Hoboken,Antwerpen,,,
2800,Mechelen,Walem,Antwerpen,,,
2801,Mechelen,Heffen,Antwerpen,,,
2811,Mechelen,Hombeek,Antwerpen,,,
2811,Mechelen,Leest,Antwerpen,,,
2812,Mechelen,Muizen,Antwerpen,,,
2820,Bonheiden,Rijmenam,Antwerpen,,,
2830,Willebroek,Blaasveld,Antwerpen,,,
2830,Willebroek,Heindonk,Antwerpen,,,
2830,Willebroek,Tisselt,Antwerpen,,,
2840,Rumst,Reet,Antwerpen,,,
2840,Rumst,Terhagen,Antwerpen,,,
2861,Sint-Katelijne-Waver,Onze-Lieve-Vrouw-Waver,Antwerpen,,,
2870,Puurs,Breendonk,Antwerpen,,,
2870,Puurs,Liezele,Antwerpen,,,
2870,Puurs,Ruisbroek,Antwerpen,,,
2880,Bornem,Hingene,Antwerpen,,,
2880,Bornem,Mariekerke,Antwerpen,,,
2880,Bornem,Weert,Antwerpen,,,
2890,Sint-Amands,Lippelo,Antwerpen,,,
2890,Sint-Amands,Oppuurs,Antwerpen,,,
2940,Stabroek,Hoevenen,Antwerpen,,,
2960,Brecht,Sint-Job-in-'t-Goor,Antwerpen,,,
2960,Brecht,Sint-Lenaarts,Antwerpen,,,
2970,Schilde,'s-Gravenwezel,Antwerpen,,,
2980,Zoersel,Halle,Antwerpen,,,
2990,Wuustwezel,Loenhout,Antwerpen,,,
3001,Leuven,Heverlee,Vlaams-Brabant,,,
3010,Leuven,Kessel-Lo,Vlaams-Brabant,,,
3012,Leuven,Wilsele,Vlaams-Brabant,,,
3018,Leuven,Wijgmaal,Vlaams-Brabant,,,
3020,Herent,Veltem-Beisem,Vlaams-Brabant,,,
3020,Herent,Winksele,Vlaams-Brabant,,,
3040,Huldenberg,Loonbeek,Vlaams-Brabant,,,
3040,Huldenberg,Neerijse,Vlaams-Brabant,,,
3040,Huldenberg,Ottenburg,Vlaams-Brabant,,,
3040,Huldenberg,Sint-Agatha-Rode,Vlaams-Brabant,,,
3051,Oud-Heverlee,Sint-Joris-Weert,Vlaams-Brabant,,,
3052,Oud-Heverlee,Blanden,Vlaams-Brabant,,,
3053,Oud-Heverlee,Haasrode,Vlaams-Brabant,,,
3054,Oud-Heverlee,Vaalbeek,Vlaams-Brabant,,,
3060,Bertem,Korbeek-Dijle,Vlaams-Brabant,,,
3061,Bertem,Leefdaal,Vlaams-Brabant,,,
3071,Kortenberg,Erps-Kwerps,Vlaams-Brabant,,,
3078,Kortenberg,Everberg,Vlaams-Brabant,,,
3078,Kortenberg,Meerbeek,Vlaams-Brabant,,,
3080,Tervuren,Duisburg,Vlaams-Brabant,,,
3080,Tervuren,Vossem,Vlaams-Brabant,,,
3111,Rotselaar,Wezemaal,Vlaams-Brabant,,,
3118,Rotselaar,Werchter,Vlaams-Brabant,,,
3128,Tremelo,Baal,Vlaams-Brabant,,,
3130,Begijnendijk,Betekom,Vlaams-Brabant,,,
3150,Haacht,Tildonk,Vlaams-Brabant,,,
3150,Haacht,Wespelaar,Vlaams-Brabant,,,
3191,Boortmeerbeek,Hever,Vlaams-Brabant,,,
3200,Aarschot,Gelrode,Vlaams-Brabant,,,
3201,Aarschot,Langdorp,Vlaams-Brabant,,,
3202,Aarschot,Rillaar,Vlaams-Brabant,,,
3210,Lubbeek,Linden,Vlaams-Brabant,,,
3211,Lubbeek,Binkom,Vlaams-Brabant,,,
3212,Lubbeek,Pellenberg,Vlaams-Brabant,,,
3220,Holsbeek,Sint-Pieters-Rode,Vlaams-Brabant,,,
3220,Lubbeek,Kortrijk-Dutsel,Vlaams-Brabant,,,
3221,Holsbeek,Nieuwrode,Vlaams-Brabant,,,
3270,Scherpenheuvel-Zichem,Scherpenheuvel,Vlaams-Brabant,,,
3271,Scherpenheuvel-Zichem,Averbode,Vlaams-Brabant,,,
3271,Scherpenheuvel-Zichem,Zichem,Vlaams-Brabant,,,
3272,Scherpenheuvel-Zichem,Messelbroek,Vlaams-Brabant,,,
3272,Scherpenheuvel-Zichem,Testelt,Vlaams-Brabant,,,
3290,Diest,Deurne,Vlaams-Brabant,,,
3290,Diest,Schaffen,Vlaams-Brabant,,,
3290,Diest,Webbekom,Vlaams-Brabant,,,
3293,Diest,Kaggevinne,Vlaams-Brabant,,,
3294,Diest,Molenstede,Vlaams-Brabant,,,
3300,Tienen,Bost,Vlaams-Brabant,,,
3300,Tienen,Goetsenhoven,Vlaams-Brabant,,,
3300,Tienen,Hakendover,Vlaams-Brabant,,,
3300,Tienen,Kumtich,Vlaams-Brabant,,,
3300,Tienen,Oorbeek,Vlaams-Brabant,,,
3300,Tienen,Oplinter,Vlaams-Brabant,,,
3300,Tienen,Sint-Margriete-Houtem,Vlaams-Brabant,,,
3300,Tienen,Vissenaken,Vlaams-Brabant,,,
3320,Hoegaarden,Meldert,Vlaams-Brabant,,,
3321,Hoegaarden,Outgaarden,Vlaams-Brabant,,,
3350,Linter,Drieslinter,Vlaams-Brabant,,,
3350,Linter,Melkwezer,Vlaams-Brabant,,,
3350,Linter,Neerhespen,Vlaams-Brabant,,,
3350,Linter,Neerlinter,Vlaams-Brabant,,,
3350,Linter,Orsmaal-Gussenhoven,Vlaams-Brabant,,,
3350,Linter,Overhespen,Vlaams-Brabant,,,
3350,Linter,Wommersom,Vlaams-Brabant,,,
3360,Bierbeek,Korbeek-Lo,Vlaams-Brabant,,,
3360,Bierbeek,Lovenjoel,Vlaams-Brabant,,,
3360,Bierbeek,Opvelp,Vlaams-Brabant,,,
3370,Boutersem,Kerkom,Vlaams-Brabant,,,
3370,Boutersem,Neervelp,Vlaams-Brabant,,,
3370,Boutersem,Roosbeek,Vlaams-Brabant,,,
